id_parroq;nparroq
110655;EL INGENIO
110656;EL AIRO
110750;GONZANAMA
110751;CHANGAIMINA (LA LIBERTAD)
110753;NAMBACOLA
110754;PURUNUMA (EGUIGUREN)
110756;SACAPALCA
110850;MACARA
110851;LARAMA
110852;LA VICTORIA
110853;SABIANGO (LA CAPILLA)
110950;CATACOCHA
110951;CANGONAMA
110952;GUACHANAMA
110954;LAURO GUERRERO
110956;ORIANGA
110957;SAN ANTONIO
110958;CASANGA
110959;YAMANA
111050;ALAMOR
111051;CIANO
111052;EL ARENAL
111053;EL LIMO (MARIANA DE JESUS)
111054;MERCADILLO
111055;VICENTINO
111150;SARAGURO
111151;EL PARAISO DE CELEN
111152;EL TABLON
111153;LLUZHAPA
111154;MANU
111155;SAN ANTONIO DE QUMBE (CUMBE)
111156;SAN PABLO DE TENTA
111157;SAN SEBASTIAN DE YULUC
111158;SELVA ALEGRE
111159;URDANETA (PAQUISHAPA)
111160;SUMAYPAMBA
111250;SOZORANGA
111251;NUEVA FATIMA
111252;TACAMOROS
111350;ZAPOTILLO
111351;MANGAHURCO
111352;GARZAREAL
111353;LIMONES
111354;PALETILLAS
111355;BOLASPAMBA
111356;CAZADEROS
111450;PINDAL
111451;CHAQUINAL
111452;12 DE DICIEMBRE (CAB. EN ACHIOTES)
111453;MILAGROS
111550;QUILANGA
111551;FUNDOCHAMBA
111552;SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)
111650;OLMEDO
111651;LA TINGUE
120150;BABAHOYO
120152;CARACOL
120153;FEBRES CORDERO (LAS JUNTAS)
120154;PIMOCHA
120155;LA UNION
120250;BABA
120251;GUARE
120252;ISLA DE BEJUCAL
120350;MONTALVO
120351;LA ESMERALDA
120450;PUEBLOVIEJO
120451;PUERTO PECHICHE
120452;SAN JUAN
120550;QUEVEDO
120553;SAN CARLOS
120555;LA ESPERANZA
120650;CATARAMA
120651;RICAURTE
120750;VENTANAS
120752;ZAPOTAL
120753;CHACARITA
120754;LOS ANGELES
120850;VINCES
120851;ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES)
120950;PALENQUE
121050;SAN JACINTO DE BUENA FE
121051;PATRICIA PILAR
121150;VALENCIA
121250;MOCACHE
121350;QUINSALOMA
130150;PORTOVIEJO
130151;ABDON CALDERON (SAN FRANCISCO)
130152;ALHAJUELA (BAJO GRANDE)
130153;CRUCITA
130154;PUEBLO NUEVO
130155;RIOCHICO (RIO CHICO)
130156;SAN PLACIDO
130157;CHIRIJOS
130250;CALCETA
130251;MEMBRILLO
130252;QUIROGA
130350;CHONE
130351;BOYACA
130352;CANUTO
130353;CONVENTO
130354;CHIBUNGA
130355;ELOY ALFARO
130356;RICAURTE
130357;SAN ANTONIO
130450;EL CARMEN
130451;WILFRIDO LOOR MOREIRA (MAICITO)
130452;SAN PEDRO DE SUMA
130550;FLAVIO ALFARO
130551;SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO)
130552;ZAPALLO
130650;JIPIJAPA
130651;AMERICA
130652;EL ANEGADO (CAB. EN ELOY ALFARO)
130653;JULCUY
130654;LA UNION
130656;MEMBRILLAL
130657;PEDRO PABLO GOMEZ
130658;PUERTO DE CAYO
130750;JUNIN
130850;MANTA
130851;SAN LORENZO
130852;SANTA MARIANITA (BOCA DE PACOCHE)
130950;MONTECRISTI
130952;LA PILA
131050;PAJAN
131051;CAMPOZANO (LA PALMA DE PAJAN)
131052;CASCOL
131053;GUALE
131054;LASCANO
131150;PICHINCHA
131151;BARRAGANETE
131152;SAN SEBASTIAN
131250;ROCAFUERTE
131350;SANTA ANA DE VUELTA LARGA
131351;AYACUCHO
131352;HONORATO VASQUEZ (CAB EN VASQUEZ)
131353;LA UNION
131355;SAN PABLO (CAB EN PUEBLO NUEVO)
131450;BAHIA DE CARAQUEZ
131453;CHARAPOTO
131457;SAN ISIDRO
131550;TOSAGUA
131551;BACHILLERO
131552;ANGEL PEDRO GILER (LA ESTANCILLA)
131650;SUCRE
131651;BELLAVISTA
131652;NOBOA
131653;ARQUITECTO SIXTO DURAN BALLEN
131750;PEDERNALES
131751;COJIMIES
131752;DIEZ DE AGOSTO
131753;ATAHUALPA
131850;OLMEDO
131950;PUERTO LOPEZ
131951;MACHALILLA
131952;SALANGO
132050;JAMA
132150;JARAMIJO
132250;SAN VICENTE
132251;CANOA
140150;MACAS
140151;ALSHI (CAB EN 9 DE OCTUBRE)
140153;GENERAL PROAÑO
140156;SAN ISIDRO
140157;SEVILLA DON BOSCO
140158;SINAI
140160;ZUÑA (ZUÑAC)
140162;CUCHAENTZA
140164;RIO BLANCO
140250;GUALAQUIZA
140251;AMAZONAS (ROSARIO DE CUYES)
140252;BERMEJOS
140253;BOMBOIZA
140254;CHIGUINDA
140255;EL ROSARIO
140256;NUEVA TARQUI
140257;SAN MIGUEL DE CUYES
140258;EL IDEAL
140350;GENERAL LEONIDAS PLAZA GUTIERREZ
140351;INDANZA
140353;SAN ANTONIO (CAB EN SAN ANTONIO CENTRO)
140356;SAN MIGUEL DE CONCHAY
140357;STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA)
140358;YUNGANZA (CAB EN EL ROSARIO)
140450;PALORA (METZERA)
140451;ARAPICOS
140452;CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO)
140454;SANGAY (CAB EN NAYAMANACA)
140455;16 DE AGOSTO
140550;SANTIAGO DE MENDEZ
140551;COPAL
140552;CHUPIANZA
140553;PATUCA
140554;SAN LUIS DE EL ACHO (CAB EN EL ACHO)
140556;TAYUZA
140557;SAN FRANCISCO DE CHINIMBIMI
140650;SUCUA
140651;ASUNCION
140652;HUAMBI
140655;SANTA MARIANITA DE JESUS
140750;HUAMBOYA
140751;CHIGUAZA
140850;SAN JUAN BOSCO
140851;PAN DE AZUCAR
140852;SAN CARLOS DE LIMON
140853;SAN JACINTO DE WAKAMBEIS
140854;SANTIAGO DE PANANZA
140950;TAISHA
140951;HUASAGA (CAB EN WAMPUIK)
140952;MACUMA
140953;TUUTINENTZA
140954;PUMPUENTSA
141050;LOGROÑO
141051;YAUPI
141052;SHIMPIS
141150;PABLO SEXTO
141250;SANTIAGO
141251;SAN JOSE DE MORONA
150150;TENA
150151;AHUANO
150153;CHONTAPUNTA
150154;PANO
150155;PUERTO MISAHUALLI
150156;PUERTO NAPO
150157;TALAG
150158;SAN JUAN DE MUYUNA
150350;ARCHIDONA
150352;COTUNDO
150354;SAN PABLO DE USHPAYACU
150356;HATUN SUMAKU
150450;EL CHACO
150451;GONZALO DIAZ DE PINEDA (EL BOMBON)
150452;LINARES
150453;OYACACHI
150454;SANTA ROSA
150455;SARDINAS
